TZoneID	Abbreviation	Name	Offset	OffsetHours	OffsetMinutes
13	GMT	Greenwich Mean Time	UTC+00	0	0
14	WAKT	Wake Island Time	UTC+12	12	0
15	CHAST	Chatham Standard Time	UTC+12:45	12	45
16	NZDT	New Zealand Daylight Time	UTC+13	13	0
17	PHOT	Phoenix Island Time	UTC+13	13	0
18	TKT	Tokelau Time	UTC+13	13	0
19	TOT	Tonga Time	UTC+13	13	0
20	CHADT	Chatham Daylight Time	UTC+13:45	13	45
21	LINT	Line Islands Time	UTC+14	14	0
22	AZOST	Azores Standard Time	UTC-01	-1	0
23	CVT	Cape Verde Time	UTC-01	-1	0
24	EGT	Eastern Greenland Time	UTC-01	-1	0
25	BRST	Brasilia Summer Time	UTC-02	-2	0
26	FNT	Fernando de Noronha Time	UTC-02	-2	0
27	GST	South Georgia and the South Sandwich Islands	UTC-02	-2	0
28	PMDT	Saint Pierre and Miquelon Daylight time	UTC-02	-2	0
29	UYST	Uruguay Summer Time	UTC-02	-2	0
30	NDT	Newfoundland Daylight Time	UTC-02:30	-2	-30
31	ADT	Atlantic Daylight Time	UTC-03	-3	0
32	AMST	Amazon Summer Time (Brazil)[1]	UTC-03	-3	0
33	ART	Argentina Time	UTC-03	-3	0
34	BRT	Brasilia Time	UTC-03	-3	0
35	TVT	Tuvalu Time	UTC+12	12	0
36	PETT	Kamchatka Time	UTC+12	12	0
37	NZST	New Zealand Standard Time	UTC+12	12	0
38	MHT	Marshall Islands	UTC+12	12	0
39	DDUT	Dumont d'Urville Time	UTC+10	10	0
40	EST	Eastern Standard Time (Australia)	UTC+10	10	0
41	PGT	Papua New Guinea Time	UTC+10	10	0
42	VLAT	Vladivostok Time	UTC+10	10	0
43	ACDT	Australian Central Daylight Savings Time	UTC+10:30	10	30
44	CST	Central Summer Time (Australia)	UTC+10:30	10	30
45	LHST	Lord Howe Standard Time	UTC+10:30	10	30
46	AEDT	Australian Eastern Daylight Savings Time	UTC+11	11	0
47	BST	Bougainville Standard Time[4]	UTC+11	11	0
48	KOST	Kosrae Time	UTC+11	11	0
49	CLST	Chile Summer Time	UTC-03	-3	0
50	LHST	Lord Howe Summer Time	UTC+11	11	0
51	NCT	New Caledonia Time	UTC+11	11	0
52	PONT	Pohnpei Standard Time	UTC+11	11	0
53	SAKT	Sakhalin Island time	UTC+11	11	0
54	SBT	Solomon Islands Time	UTC+11	11	0
55	SRET	Srednekolymsk Time	UTC+11	11	0
56	VUT	Vanuatu Time	UTC+11	11	0
57	NFT	Norfolk Time	UTC+11:00	11	0
58	FJT	Fiji Time	UTC+12	12	0
59	GILT	Gilbert Island Time	UTC+12	12	0
60	MAGT	Magadan Time	UTC+12	12	0
61	MIST	Macquarie Island Station Time	UTC+11	11	0
62	CHUT	Chuuk Time	UTC+10	10	0
63	FKST	Falkland Islands Standard Time	UTC-03	-3	0
64	GFT	French Guiana Time	UTC-03	-3	0
65	PET	Peru Time	UTC-05	-5	0
66	CST	Central Standard Time (North America)	UTC-06	-6	0
67	EAST	Easter Island Standard Time	UTC-06	-6	0
68	GALT	Galapagos Time	UTC-06	-6	0
69	MDT	Mountain Daylight Time (North America)	UTC-06	-6	0
70	MST	Mountain Standard Time (North America)	UTC-07	-7	0
71	PDT	Pacific Daylight Time (North America)	UTC-07	-7	0
72	AKDT	Alaska Daylight Time	UTC-08	-8	0
73	CIST	Clipperton Island Standard Time	UTC-08	-8	0
74	PST	Pacific Standard Time (North America)	UTC-08	-8	0
75	AKST	Alaska Standard Time	UTC-09	-9	0
76	GAMT	Gambier Islands	UTC-09	-9	0
77	GIT	Gambier Island Time	UTC-09	-9	0
78	HADT	Hawaii-Aleutian Daylight Time	UTC-09	-9	0
79	MART	Marquesas Islands Time	UTC-09:30	-9	-30
80	MIT	Marquesas Islands Time	UTC-09:30	-9	-30
81	CKT	Cook Island Time	UTC-10	-10	0
82	HAST	Hawaii-Aleutian Standard Time	UTC-10	-10	0
83	HST	Hawaii Standard Time	UTC-10	-10	0
84	TAHT	Tahiti Time	UTC-10	-10	0
85	NUT	Niue Time	UTC-11	-11	0
86	EST	Eastern Standard Time (North America)	UTC-05	-5	0
87	ECT	Ecuador Time	UTC-05	-5	0
88	EASST	Easter Island Standard Summer Time	UTC-05	-5	0
89	CST	Cuba Standard Time	UTC-05	-5	0
90	PMST	Saint Pierre and Miquelon Standard Time	UTC-03	-3	0
91	PYST	Paraguay Summer Time (South America)[8]	UTC-03	-3	0
92	ROTT	Rothera Research Station Time	UTC-03	-3	0
93	SRT	Suriname Time	UTC-03	-3	0
94	UYT	Uruguay Standard Time	UTC-03	-3	0
95	NST	Newfoundland Standard Time	UTC-03:30	-3	-30
96	NT	Newfoundland Time	UTC-03:30	-3	-30
97	AMT	Amazon Time (Brazil)[2]	UTC-04	-4	0
98	AST	Atlantic Standard Time	UTC-04	-4	0
99	BOT	Bolivia Time	UTC-04	-4	0
100	FKST	Falkland Islands Summer Time	UTC-03	-3	0
101	CDT	Cuba Daylight Time[5]	UTC-04	-4	0
102	COST	Colombia Summer Time	UTC-04	-4	0
103	ECT	Eastern Caribbean Time (does not recognise DST)	UTC-04	-4	0
104	EDT	Eastern Daylight Time (North America)	UTC-04	-4	0
105	FKT	Falkland Islands Time	UTC-04	-4	0
106	GYT	Guyana Time	UTC-04	-4	0
107	PYT	Paraguay Time (South America)[9]	UTC-04	-4	0
108	VET	Venezuelan Standard Time	UTC-04:30	-4	-30
109	ACT	Acre Time	UTC-05	-5	0
